"ID"	"pval"	"adj.pval"	"log10.adj"	"aucs.mat"	"fc"	"sig"
"1"	"Abiotrophia defectiva [r_04788]"	0.127484531326942	0.499932314237918	0.301088790749612	0.54140350877193	0.0143348830085075	"not sig"
"2"	"Absiella dolichum [r_03694]"	0.00758470612515867	0.254656508152203	0.594045220259563	0.44	-0.0516644369541029	"not sig"
"3"	"Acetobacter sp. [r_03587]"	0.387199588275763	0.71458894418917	0.145943707297838	0.464912280701754	-0.21283899241307	"not sig"
"4"	"Acholeplasma sp. CAG:878 [r_07583]"	0.0634705391677002	0.473954701957466	0.324263163874414	0.47	0	"not sig"
"5"	"Acidaminococcus fermentans [r_03588]"	0.187685207398548	0.519061444064411	0.284781229360319	0.517543859649123	0	"not sig"
"6"	"Acidaminococcus intestini [r_01949]"	0.620418744585787	0.859991029201559	0.0655060789757125	0.519473684210526	0.0409175787592022	"not sig"
"7"	"Acidaminococcus massiliensis [r_03590]"	0.94694928676904	0.959813503494959	0.0178131443264007	0.498947368421053	0	"not sig"
"8"	"Acinetobacter sp. [r_02372]"	0.302524428590117	0.63680033298986	0.195996718172992	0.459649122807018	-0.17586238726562	"not sig"
"9"	"Acinetobacter sp. [r_03673]"	0.319893584401729	0.655979198064493	0.183109932436908	0.460350877192982	-0.162985361546155	"not sig"
"10"	"Acinetobacter species  [m_12662]"	0.418513060943645	0.739556632693837	0.131028563621525	0.467719298245614	-0.178718774321142	"not sig"
"11"	"Actinobacteria sp. [r_01911]"	0.0928465845373962	0.496177636715957	0.304362813763376	0.590526315789474	0.266477238572829	"not sig"
"12"	"Actinobacteria sp. [r_02041]"	0.0408746836175506	0.473954701957466	0.324263163874414	0.600701754385965	0.235978132934836	"not sig"
"13"	"Actinobaculum sp. oral taxon 183 [r_07446]"	0.0494366549678181	0.473954701957466	0.324263163874414	0.550526315789474	0.0163893662551214	"not sig"
"14"	"Actinomyces bouchesdurhonensis [r_01915]"	0.36238088180929	0.701795328724259	0.153789526853057	0.531929824561403	0.0801590368730774	"not sig"
"15"	"Actinomyces dentalis [r_02098]"	0.188222578748599	0.519061444064411	0.284781229360319	0.543508771929825	0.0473580048653162	"not sig"
"16"	"Actinomyces gerencseriae [r_06712]"	0.791290319490801	0.959813503494959	0.0178131443264007	0.505614035087719	0	"not sig"
"17"	"Actinomyces graevenitzii [r_04054]"	0.281901177142806	0.608963611732738	0.215408657606574	0.542105263157895	0.1197857874947	"not sig"
"18"	"Actinomyces israelii [r_06713]"	0.290426686970216	0.62117888626468	0.206783314267652	0.530175438596491	0.0162465640471631	"not sig"
"19"	"Actinomyces johnsonii [r_02017]"	0.242648747140275	0.576001866447952	0.239576109308154	0.478245614035088	0	"not sig"
"20"	"Actinomyces marseillensis/pacaensis [r_03846]"	0.300587772255402	0.63680033298986	0.195996718172992	0.53719298245614	0.0489305791398677	"not sig"
"21"	"Actinomyces massiliensis [r_02522]"	0.00630352529707231	0.237116182484653	0.625038805684554	0.570175438596491	0.0161334558120436	"not sig"
"22"	"Actinomyces naeslundii [r_02018]"	0.187855890115179	0.519061444064411	0.284781229360319	0.549473684210526	0.0787008954824977	"not sig"
"23"	"Actinomyces radicidentis [r_06665]"	0.844806505303994	0.959813503494959	0.0178131443264007	0.495438596491228	0	"not sig"
"24"	"Actinomyces sp. ICM39 [r_01912]"	0.118322948815902	0.499932314237918	0.301088790749612	0.565263157894737	0.132684336734514	"not sig"
"25"	"Actinomyces sp. ICM47 [r_01914]"	0.569354015143837	0.823081208114287	0.0845573136382541	0.525789473684211	0.0287528606601766	"not sig"
"26"	"Actinomyces sp. [r_01913]"	0.418122731256496	0.739556632693837	0.131028563621525	0.535789473684211	0.118961790038894	"not sig"
"27"	"Actinomyces sp. [r_05890]"	0.377010352106616	0.712788872114627	0.147039089017389	0.516491228070175	0	"not sig"
"28"	"Actinomyces sp. oral taxon 414 [r_02099]"	0.138909640184492	0.499932314237918	0.301088790749612	0.533333333333333	0	"not sig"
"29"	"Actinomyces sp. oral taxon 448 [r_12049]"	0.557610527413507	0.819790267386507	0.0862972419666077	0.517543859649123	0.0145143007776109	"not sig"
"30"	"Actinomyces species  [m_13857]"	0.646584825479867	0.862480285295529	0.0642508233100146	0.507543859649123	0	"not sig"
"31"	"Actinomyces urogenitalis [r_01102]"	0.187685207398548	0.519061444064411	0.284781229360319	0.517543859649123	0	"not sig"
"32"	"Actinomyces viscosus/oris [r_02019]"	0.531181191019154	0.806074959930762	0.0936245696458329	0.467719298245614	-0.129140905359431	"not sig"
"33"	"Actinomycetaceae sp. [r_02100]"	0.0829996570915507	0.496177636715957	0.304362813763376	0.541929824561403	0.00639079877662909	"not sig"
"34"	"Actinotignum schaalii [r_02097]"	0.187685207398548	0.519061444064411	0.284781229360319	0.517543859649123	0	"not sig"
"35"	"Adlercreutzia equolifaciens [r_08094]"	0.0724576217880213	0.496177636715957	0.304362813763376	0.402456140350877	-0.360370790122989	"not sig"
"36"	"Aerococcus urinae [r_03199]"	0.132641886591722	0.499932314237918	0.301088790749612	0.48	0	"not sig"
"37"	"Agathobaculum desmolans [r_08185]"	0.901720226517204	0.959813503494959	0.0178131443264007	0.497543859649123	0	"not sig"
"38"	"Aggregatibacter aphrophilus [r_04048]"	0.0856193123756285	0.496177636715957	0.304362813763376	0.541578947368421	0.00652515734405694	"not sig"
"39"	"Aggregatibacter segnis [r_04049]"	0.0192239296432051	0.391177841073097	0.40762575452923	0.552631578947368	0.0070735685744441	"not sig"
"40"	"Aggregatibacter sp. oral taxon 458 [r_04050]"	0.0110207438753138	0.302519270041101	0.519246956198395	0.56140350877193	0.0143034693152039	"not sig"
"41"	"Akkermansia muciniphila [r_03591]"	0.452974373216391	0.778930324237661	0.108501388479482	0.54	0.198573562896826	"not sig"
